,Parameter,Value,muni_code
0,classifier__alpha,0.002848035868435802,860
1,classifier__l1_ratio,0.3,860
2,classifier__max_iter,2000.0,860
3,preprocessor__num__poly__degree,2.0,860
4,classifier__alpha,0.01519911082952933,851
5,classifier__l1_ratio,1.0,851
6,classifier__max_iter,2000.0,851
7,preprocessor__num__poly__degree,1.0,851
8,classifier__alpha,0.01519911082952933,849
9,classifier__l1_ratio,0.5,849
10,classifier__max_iter,2000.0,849
11,preprocessor__num__poly__degree,2.0,849
12,classifier__alpha,0.08111308307896872,846
13,classifier__l1_ratio,0.0,846
14,classifier__max_iter,2000.0,846
15,preprocessor__num__poly__degree,1.0,846
16,classifier__alpha,0.01519911082952933,840
17,classifier__l1_ratio,0.7,840
18,classifier__max_iter,2000.0,840
19,preprocessor__num__poly__degree,1.0,840
20,classifier__alpha,0.08111308307896872,825
21,classifier__l1_ratio,0.1,825
22,classifier__max_iter,2000.0,825
23,preprocessor__num__poly__degree,1.0,825
24,classifier__alpha,0.08111308307896872,820
25,classifier__l1_ratio,1.0,820
26,classifier__max_iter,2000.0,820
27,preprocessor__num__poly__degree,1.0,820
28,classifier__alpha,0.08111308307896872,813
29,classifier__l1_ratio,0.0,813
30,classifier__max_iter,2000.0,813
31,preprocessor__num__poly__degree,1.0,813
32,classifier__alpha,0.0001,810
33,classifier__l1_ratio,1.0,810
34,classifier__max_iter,2000.0,810
35,preprocessor__num__poly__degree,1.0,810
36,classifier__alpha,0.01519911082952933,791
37,classifier__l1_ratio,0.8,791
38,classifier__max_iter,2000.0,791
39,preprocessor__num__poly__degree,1.0,791
40,classifier__alpha,0.01519911082952933,787
41,classifier__l1_ratio,0.7,787
42,classifier__max_iter,2000.0,787
43,preprocessor__num__poly__degree,2.0,787
44,classifier__alpha,0.01519911082952933,779
45,classifier__l1_ratio,1.0,779
46,classifier__max_iter,2000.0,779
47,preprocessor__num__poly__degree,2.0,779
48,classifier__alpha,0.01519911082952933,773
49,classifier__l1_ratio,0.8,773
50,classifier__max_iter,2000.0,773
51,preprocessor__num__poly__degree,1.0,773
52,classifier__alpha,0.08111308307896872,766
53,classifier__l1_ratio,0.1,766
54,classifier__max_iter,2000.0,766
55,preprocessor__num__poly__degree,1.0,766
56,classifier__alpha,12.32846739442066,760
57,classifier__l1_ratio,0.1,760
58,classifier__max_iter,2000.0,760
59,preprocessor__num__poly__degree,2.0,760
60,classifier__alpha,0.08111308307896872,756
61,classifier__l1_ratio,0.0,756
62,classifier__max_iter,2000.0,756
63,preprocessor__num__poly__degree,1.0,756
64,classifier__alpha,0.01519911082952933,751
65,classifier__l1_ratio,0.0,751
66,classifier__max_iter,2000.0,751
67,preprocessor__num__poly__degree,1.0,751
68,classifier__alpha,0.08111308307896872,746
69,classifier__l1_ratio,0.0,746
70,classifier__max_iter,2000.0,746
71,preprocessor__num__poly__degree,1.0,746
72,classifier__alpha,0.08111308307896872,741
73,classifier__l1_ratio,0.7,741
74,classifier__max_iter,2000.0,741
75,preprocessor__num__poly__degree,1.0,741
76,classifier__alpha,0.08111308307896872,740
77,classifier__l1_ratio,0.0,740
78,classifier__max_iter,2000.0,740
79,preprocessor__num__poly__degree,1.0,740
80,classifier__alpha,0.01519911082952933,730
81,classifier__l1_ratio,0.0,730
82,classifier__max_iter,2000.0,730
83,preprocessor__num__poly__degree,1.0,730
84,classifier__alpha,0.01519911082952933,727
85,classifier__l1_ratio,0.7,727
86,classifier__max_iter,2000.0,727
87,preprocessor__num__poly__degree,1.0,727
88,classifier__alpha,0.0005336699231206312,710
89,classifier__l1_ratio,1.0,710
90,classifier__max_iter,2000.0,710
91,preprocessor__num__poly__degree,1.0,710
92,classifier__alpha,0.01519911082952933,707
93,classifier__l1_ratio,0.9,707
94,classifier__max_iter,2000.0,707
95,preprocessor__num__poly__degree,2.0,707
96,classifier__alpha,0.01519911082952933,706
97,classifier__l1_ratio,0.0,706
98,classifier__max_iter,2000.0,706
99,preprocessor__num__poly__degree,1.0,706
100,classifier__alpha,0.002848035868435802,671
101,classifier__l1_ratio,1.0,671
102,classifier__max_iter,2000.0,671
103,preprocessor__num__poly__degree,1.0,671
104,classifier__alpha,0.08111308307896872,665
105,classifier__l1_ratio,0.9,665
106,classifier__max_iter,2000.0,665
107,preprocessor__num__poly__degree,1.0,665
108,classifier__alpha,0.08111308307896872,661
109,classifier__l1_ratio,0.2,661
110,classifier__max_iter,2000.0,661
111,preprocessor__num__poly__degree,1.0,661
112,classifier__alpha,0.08111308307896872,657
113,classifier__l1_ratio,0.1,657
114,classifier__max_iter,2000.0,657
115,preprocessor__num__poly__degree,1.0,657
116,classifier__alpha,0.01519911082952933,630
117,classifier__l1_ratio,1.0,630
118,classifier__max_iter,2000.0,630
119,preprocessor__num__poly__degree,1.0,630
120,classifier__alpha,0.01519911082952933,621
121,classifier__l1_ratio,0.1,621
122,classifier__max_iter,2000.0,621
123,preprocessor__num__poly__degree,1.0,621
124,classifier__alpha,0.0001,615
125,classifier__l1_ratio,0.8,615
126,classifier__max_iter,2000.0,615
127,preprocessor__num__poly__degree,2.0,615
128,classifier__alpha,0.01519911082952933,607
129,classifier__l1_ratio,0.4,607
130,classifier__max_iter,2000.0,607
